'sample #','MLII','V1'
0,999,868
1,999,868
2,999,868
3,999,868
4,999,868
5,999,868
6,999,868
7,999,864
8,997,862
9,999,856
10,999,858
11,1000,860
12,1005,861
13,1007,862
14,1003,864
15,990,861
16,979,857
17,973,856
18,968,860
19,965,862
20,956,859
21,945,854
22,942,852
23,943,855
24,948,856
25,950,855
26,946,854
27,942,851
28,939,849
29,940,853
30,943,854
31,950,853
32,949,853
33,946,854
34,942,851
35,943,851
36,945,853
37,949,854
38,946,855
39,945,855
40,945,852
41,945,854
42,947,856
43,948,858
44,947,856
45,944,853
46,943,852
47,943,853
48,943,853
49,941,853
50,937,853
51,939,850
52,939,850
53,946,853
54,949,855
55,951,858
56,950,861
57,951,859
58,948,857
59,943,853
60,943,843
61,946,834
62,951,815
63,958,796
64,960,772
65,965,737
66,970,690
67,968,640
68,956,605
69,936,590
70,922,590
71,920,599
72,922,608
73,922,613
74,917,618
75,916,625
76,907,633
77,899,638
78,896,646
79,894,652
80,887,657
81,878,662
82,868,671
83,857,682
84,847,691
85,841,699
86,836,704
87,829,707
88,828,718
89,836,735
90,841,752
91,845,770
92,846,785
93,858,796
94,872,805
95,884,819
96,899,833
97,908,847
98,915,856
99,923,860
100,927,870
101,935,879
102,945,890
103,950,893
104,950,896
105,952,895
106,952,896
107,953,901
108,959,905
109,961,907
110,960,908
111,955,905
112,955,908
113,958,908
114,964,911
115,967,913
116,964,913
117,966,915
118,965,915
119,964,916
120,966,921
121,968,922
122,967,921
123,960,918
124,960,919
125,962,922
126,965,927
127,967,927
128,969,929
129,967,927
130,966,927
131,965,929
132,967,931
133,967,929
134,966,929
135,967,927
136,969,929
137,968,931
138,970,933
139,972,934
140,970,934
141,970,930
142,969,930
143,972,933
144,976,937
145,979,939
146,976,938
147,971,937
148,968,933
149,969,937
150,976,938
151,980,939
152,980,938
153,979,936
154,976,937
155,980,938
156,984,941
157,986,941
158,987,941
159,980,937
160,975,938
161,979,940
162,985,942
163,987,943
164,991,943
165,988,940
166,986,939
167,987,941
168,988,944
169,991,945
170,990,945
171,993,941
172,992,941
173,989,939
174,989,940
175,995,939
176,990,937
177,992,936
178,991,934
179,991,933
180,992,936
181,993,935
182,991,937
183,990,933
184,986,929
185,985,929
186,985,930
187,988,928
188,988,925
189,984,924
190,984,922
191,983,926
192,984,924
193,986,921
194,986,919
195,984,914
196,978,912
197,979,910
198,982,912
199,981,911
200,983,911
201,981,911
202,978,909
203,972,910
204,973,912
205,974,910
206,976,908
207,975,908
208,974,908
209,971,908
210,970,912
211,973,913
212,971,911
213,971,909
214,970,908
215,968,911
216,972,915
217,973,915
218,972,915
219,970,911
220,969,911
221,970,912
222,973,915
223,973,916
224,972,916
225,970,916
226,969,915
227,970,917
228,971,919
229,973,921
230,971,922
231,968,920
232,967,922
233,967,924
234,968,925
235,972,928
236,971,925
237,970,924
238,968,925
239,967,928
240,967,931
